8297 103689
30 1412 7
30 3352 9
30 5254 10
30 5543 2
30 7478 9
3 28 2
3 30 8
3 39 2
3 54 4
3 108 6
3 152 10
3 178 4
3 182 3
3 214 8
3 271 8
3 286 10
3 300 10
3 348 4
3 349 6
3 371 8
3 567 9
3 581 8
3 584 6
3 586 2
3 590 5
3 604 8
3 611 2
3 8283 5
25 3 9
25 6 4
25 8 9
25 19 7
25 23 1
25 28 9
25 29 4
25 30 9
25 33 2
25 35 3
25 50 7
25 54 3
25 55 2
25 75 3
25 80 3
25 86 8
25 94 6
25 127 10
25 152 1
25 154 7
25 182 1
25 192 5
25 214 1
25 224 5
25 226 7
25 246 10
25 252 2
25 255 5
25 257 4
25 261 10
25 271 6
25 273 8
25 280 2
25 282 10
25 286 5
25 299 7
25 300 8
25 302 7
25 306 4
25 308 1
25 310 1
25 322 7
25 325 4
25 339 4
25 348 9
25 349 8
25 356 4
25 358 4
25 363 7
25 370 5
25 371 5
25 373 8
25 377 10
25 379 3
25 407 2
25 415 4
25 422 4
25 428 3
25 439 9
25 488 9
25 514 4
25 545 1
25 549 5
25 560 10
25 590 2
25 592 3
25 600 4
25 604 10
25 611 2
25 645 4
25 650 5
25 659 7
25 664 4
25 667 2
25 673 7
25 675 3
25 696 7
25 706 10
25 723 6
25 739 3
25 756 10
25 857 9
25 864 2
25 893 3
25 959 1
25 994 3
25 1131 3
25 3755 1
25 8282 2
25 8284 8
4 8 4
4 10 7
4 28 8
4 30 3
4 38 1
4 55 10
4 56 2
4 75 3
4 130 9
4 140 6
4 147 7
4 151 10
4 152 3
4 214 2
4 232 9
4 243 7
4 282 6
4 299 1
4 341 3
4 363 9
4 370 8
4 415 3
4 560 4
4 606 8
4 611 10
4 645 6
4 650 4
4 659 4
4 8282 9
5 6 5
5 8 7
5 10 3
5 23 3
5 30 2
5 33 10
5 38 3
5 50 1
5 54 7
5 55 6
5 61 5
5 75 5
5 89 4
5 93 9
5 127 3
5 130 6
5 147 6
5 153 9
5 163 3
5 167 10
5 168 8
5 175 1
5 299 4
6 3 4
6 8 1
6 10 10
6 19 8
6 23 8
6 28 3
6 29 8
6 30 6
6 33 1
6 34 8
6 35 3
6 38 4
6 39 5
6 50 10
6 54 9
6 55 4
6 56 8
6 61 5
6 80 9
6 86 6
6 89 4
6 93 2
6 94 7
6 127 7
6 130 1
6 132 7
6 135 7
6 140 2
6 147 8
6 151 5
6 153 9
6 154 7
6 163 6
6 167 8
6 168 8
6 171 5
6 175 3
6 178 3
6 182 6
6 183 8
6 216 4
6 219 3
6 226 9
6 227 7
6 228 4
6 232 6
6 236 1
6 243 2
6 250 8
6 252 2
6 257 5
6 258 3
6 259 4
6 261 2
6 271 1
6 273 6
6 274 8
6 280 10
6 285 2
6 286 5
6 290 8
6 298 8
6 299 2
6 300 4
6 301 1
6 304 8
6 306 8
6 317 9
6 319 10
6 322 3
6 325 1
6 339 9
6 348 2
6 349 3
6 356 8
6 358 7
6 359 1
6 362 8
6 363 8
6 370 1
6 371 6
6 373 5
6 377 2
6 378 9
6 379 5
6 390 10
6 391 4
6 392 9
6 394 6
6 396 1
6 402 6
6 405 5
6 406 9
6 407 5
6 415 8
6 421 7
6 422 2
6 427 6
6 428 2
6 431 10
6 432 1
6 433 2
6 435 1
6 439 1
6 440 3
6 447 5
6 538 7
6 545 8
6 549 7
6 560 6
6 564 10
6 566 7
6 567 5
6 579 7
6 581 6
6 584 9
6 586 3
6 589 9
6 590 8
6 592 8
6 600 5
6 604 3
6 609 10
6 611 9
6 613 1
6 616 3
6 617 2
6 619 9
6 643 7
6 656 3
6 659 5
6 665 10
6 668 7
6 673 7
6 691 10
6 694 7
6 700 5
6 704 7
6 717 10
6 723 1
6 730 10
6 733 3
6 739 6
6 741 7
6 761 2
6 765 3
6 779 1
6 789 4
6 791 3
6 798 2
6 802 10
6 813 9
6 820 10
6 826 6
6 857 10
6 863 4
6 871 7
6 881 6
6 885 2
6 893 3
6 895 8
6 897 10
6 904 5
6 906 10
6 907 1
6 913 2
6 922 9
6 932 10
6 936 9
6 955 8
6 960 7
6 963 9
6 966 7
6 971 2
6 972 8
6 978 2
6 979 3
6 983 5
6 991 2
6 993 3
6 995 9
6 1007 4
6 1014 10
6 1022 2
6 1026 4
6 1032 10
6 1035 4
6 1043 7
6 1055 4
6 1062 4
6 1125 8
6 1144 10
6 1152 6
6 1156 10
6 1160 9
6 1167 6
6 1168 1
6 1218 9
6 1220 1
6 1221 1
6 1222 9
6 1234 6
6 1241 7
6 1248 3
6 1253 1
6 1261 3
6 1297 8
6 1321 1
6 1326 8
6 1377 3
6 1389 1
6 1390 1
6 1394 2
6 1396 4
6 1428 6
6 1439 4
6 1441 5
6 1442 5
6 1446 9
6 1453 4
6 1464 1
6 1465 10
6 1468 7
6 1471 8
6 1472 1
6 1476 5
6 1478 9
6 1484 1
6 1485 7
6 1487 9
6 1489 4
6 1490 9
6 1497 2
6 1501 5
6 1506 5
6 1507 6
6 1513 1
6 1514 4
6 1518 5
6 1524 4
6 1525 1
6 1531 3
6 1532 2
6 1533 10
6 1538 3
6 1549 6
6 1555 8
6 1556 3
6 1557 7
6 1563 5
6 1569 2
6 1573 4
6 1587 7
6 1597 2
6 1610 9
6 1619 6
6 1641 5
6 1648 1
6 1652 9
6 1654 10
6 1657 3
6 1662 5
6 1669 4
6 1679 7
6 1689 1
